name,review,rating
Thai Express,"Agaarjuulagch, AC bgui mash bugchim. Hool ih udaan garsan. 6 hvn zereg zahialga uguhud zarimiinh ni ireed zarimiinh irehgui tsuvraal huleelgeed l",1
Thai Express,Ymar ch uilchilgeenii soyl bhgui oronguut zuugch nar n sandal dre hevttsen hun orj irj bgag anzaarch bga hun bdgu uneheer yvtsgu untaa gazar bn :((,1
Thai Express,Curry ni curry bish blaa. Poorts mash myy. Dahij orohgvee.,2
Oishii Ramen,"Mash amttai, ports saitai bas hamgiin gol n busad Japan restauranuudiig bodwol engiin humuust zoriulsan unetei gazar.",5
Oishii Ramen,"Curry bol mash myy bn. Shul shig shingen, bitvv tums. Bas halbaga bhgvi ged ramenii halbagaar curry hvcheer idvvlehiin. Daraa orohod saijiryylaagvi bwal dahij hezee ch orohgvi.",2
Oishii Ramen,Ih saihan tuhalag orchin bas hool uneheer goy amttai! Mgld law idej bsan Rahmen hamgiin sain. Tanaihand amjilt husie,5
Oishii Ramen,jinhene Japan rameng bodwol arai ondoo ch dajgui amttai blee :) Mahgui zahiahad 2000 hyamdarch ugsun uchraas neg od nemlee.,4
BBQ chicken Mongolia,Horoollin salbartaa anhaarlaa handulaacee ymar es surthuun hvndll bhgv ih muhai ner toriig cn unagaasn salbar we. Hool n udna zoogc n udaan gants hool idh gj bi 5 6duudlaa brg svvldee oroo orto uilcleh shahsan . Zahialga dendvv udaana. Bvvr bj bj holo ogchood tawga oghgv halbaga hutgaa ogohgvv pizza ntr idh gheer bas l... bibvr ng ngeer n duudaj oroo hlj awsan. Tgd im ym gheer urdaas urlna ogh gj bna ntr ene cn yu gsn vg ym bee?? Iim haritsaatai bj blhuu??? Ajlaa hj cadhgv bgaag n halaacde tsaguur cn l ng ajil haisan gudamj metrlsn zaluus bna yah gj ungj ner toroo unagaan bj iim hvmvvs ajluuldag ym vneheer gomdoltou bna. Uilchilgee bvr muugin muu bsn.,1
BBQ chicken Mongolia,"Hogiin gazar. Zahialga ugii geheer dandaa uur uur yum yarina. Management gj avah yumgu. Facebook deerh utasrun zalgaad zahialga ugii geheer tanaihtai oir salbar ted gd dugaar ugnu. Teren manaih haatsan, 10 tsagaas haadin gene. Margaashn dahiad utasdaad 9:30n ued zahialga uguh geheer, tanaihtai oirhon salbar 9:30d haadag zahialga avahgui gehiin. Fb huudsan deeree 10:30 getsen bhin. Gants tahiagn zahialii idchii geed 2 udur zahialah gj uzlee. Suuldee guihimu haashain ed naraas. Management avah yumgu gazar shuu. 1 star-s door unelgee ugmuur novshiin managementtei gazar.",1
BBQ chicken Mongolia,Tahian shardag tosoo ern solidiimu tanaih. Arai l heterhii amttai bn. Dahij tanaihaas yum zahialaltgui sanagdlaaa,1
BBQ chicken Mongolia,Ystoi muuhai haraajin tuuhii mahand n hurtel tsus n shuursen tahia ogchod ysnii ulaan gd hunii urmand hun shig uuchlalt ch guij chadahgui ajilchid n hurtel sonin haritsaatai,1
BBQ chicken Mongolia,Sous ntree hvn guisiim shg hdg blchjee vneheer ontsgvi blchj ahij orohgvi ee hooloo awchrah gj barag tsag hvleelgene anh yaj hdg bsn teren shgee l bldaa ufffff,1
BBQ chicken Mongolia,Guurnii door bdag salbariin uilchilgee taalagdlaa ,5
BBQ chicken Mongolia,goe tahia baina,3
BBQ chicken Mongolia,Chicken dukbab bol nice2 jhn hymd bval humuus ih zahialna daa,5
BBQ chicken Mongolia,bbg hamt olond ajiln amjilt orh durtai gazarn neg,5
Bojangles Grill Restaurant & Bar,goe yum,5
Rosewood Kitchen + Enoteca,"Ih ondor setgegdeltei orson setgeld hureegyi, potato wedge avsan yns boltol sharaad, flank steaknii mah n diildehgyi hatuu rezin shig, hangar steak n idehiin argagyi davstai... neg l setgelgyi haltuurdaj uulchilsen !",2
KFC mongolia,goe amtai bas tanaid ajild oroh huselt tawij bna ajildni amjilt,5
BD's mongolian barbecue,Songolt bagatai bj unetei bn uuh yumaa nemmeer sanagdlaa,3
BD's mongolian barbecue,"taalagdsangue , huuchin goy baisan yamar ch songoltgui uuh yum baihgui",1
Pizza Hut Mongolia,30-40 minit gecheed 1.30 minut bolohod ireegui l bn!!!!!!! Butsaah bolomjgui gehiin tegvel helsen tsagtsaa ireh ugui bol 1.30-2 tsag boldog gej helj baimaar um bndaa,1
Pizza Hut Mongolia,Muu yumoo amt n bas tulenhii yum bna ter 18000 iin,1
Pizza Hut Mongolia,Pizza chini unetei baij uneheer jijig Jil ireh tusam saijrah bish muudaad l baih yma,1
Pizza Hut Mongolia,"Pizza chin uneheer ontsgui bolson bnlee, amt muutai, pizza gj helhed hetsuu",2
Pizza Hut Mongolia,18000 pizza ni unheer muu yum a. hyamdraliinh geed ter uu amt muutai tegeed bas tulenhii,1
Pizza Hut Mongolia,yaslag n uneheer amt muutai umaa. Urd n goe l bsan. Suuliin 2 udaad busad gazriin pizzanuudaas neex yalgarsangui ee,2
Burger King Mongolia,Burer king-d huuhduud maani durtai ger buleere durtai. Gehdee Tanaih huuhdiin undaagaa uruunii temperature-d bailgamaar bnaa. Har huitend tsew mus shg undaa uguud huuhdiin hooloi uwdsun bolohoor ingj bgan shu. Huuhed huue ghiin zawdalgui undaagaa neheed bhar yAj uguhgui bh bile de. Zun ch ter huuhded zoriulsan undaagaa uruunii temperature-d hadgalsan n deer shuu.,5
Burger King Mongolia,"hleed double cheeseburger awahad mashinda orood harsan chn ogt ymr cheesegui bsn. butsaj orood ajiltand n heltel tooj baigaa ch ym alga, tuwugshuusun baidaltai arai ydan hudluul uuchlalt edr guisan ymgui shiniig hiij ugluu. heseg hugatsaani daraa duuge ywuulad double cheeseburger awahuulsan chn ahiad l ymr ch cheesegui. ene odoo yg yamar uchirtai ymbe? hereglegchid munguu tulj baij baraaga awj bhd ingeed hagas dutuu hulhidsan baidaltai uilchilgee ywuulah ymu? tged ene cashier deer n bga hun ym asuuhar dugarch ydaal ajiltnuud n haritsaanii soyolgui. olon ulsiin suljee turgen hoolni gazar baij hudulj ydaad l, zahialgaa zunduu huleelgej bn. ajiluulah zuwshuurul erhiin awj mongold oruulj irj bga ymbol ymiig neg hiisen shig hiigech! #burgerkingmongolia tsetseg tuw salbar",1
Burger King Mongolia,"Saya emart orj pizza awaad tanaihaar orj ger buliin bagts idsiin. Huleegeed suuj bh zuur neg sonin hariltsaanii soyolgui gar irsenee end suuj idehgui shuu, garaarai ntr gej tngtehiin. Pizzagaa awaad yawah gej bjiij odoo tgd haana tawihiin??? Gants ch zusem pizza ideegui!! Awch yawah gej awch orsiin. Sonin hariltsaanii soyolgui hogiin gardaa soyoltoi uilchilj sur gej helhed iluudehgui shuu!!",1
Burger King Mongolia,Yostoi mongonii garz uilchilgee muu arai l arguu yumaa dahij hezee ch burger king orohgui,1
Burger King Mongolia,"Shine garsan Fish fingers, mozzarella, jalapeños-uud ni heterhii jijighen bas muuhaai amttai sanagdlaaa ?￰ﾟﾘﾭ?￰ﾟﾘﾭ?￰ﾟﾑ﾿?￰ﾟﾘﾡ?",1
Burger King Mongolia,burgernii chin baitsaa bol arai shuu. hool hunsni baitsaa dund n hj havchuulna gj yu gsn ug ve arai denduu. hen tiim tuuhii baitsaa ideed suuhavdee neeree. (harhorin salbar),1
Burger King Mongolia,Eeldee za bas amidraldaa iim burger idej uzsenguu,2
Burger King Mongolia,big king gheer n surhi tom burger bhnde gd zahisan algiin chineehen ym ughiin zurag hurug shge bmariiin tgd ter brownie gj bur aimshgtai zgr l hailuulsan shoklad � tnaih arai bsheeee,1
Burger King Mongolia,"Bi l lav dahij Burger King orohgui, Amt ntr avah yumgui. naiziin bagts ni arail bishee yamarch amtgui talh mah ni aimshigtai argamaar. Gerte hiisench iim amtgui yum hiij idehguil bh",1
Burger King Mongolia,eMart salbar chin yagad iim ontsgui ymbe? whopper dandaa garahgui bgaa geh ym deeres n sundae gargadaggui machine n bdaggui gj bga. tgd tnaihas zarlasan setnuud chin bnga bhgui bh ym! taalagdahgui bn mash olon udaa butsaj bn. orlogoo aldaj bgaga medej bga blguide...,1
Burger King Mongolia,Ta hed ter ketchup deer goroohoo bolildoo... dahiad avie gehleer uguhgui unen sanaa zovmoor. Buur neg olon ulsiin brand gutaachih yumaa.... Sauce yariaguishuu ketchup shuu.,1
Beer house,"Hool n amttai, piwo n songolt ihtei, amid hugjimtei, hotiin tuwd bairlaltai-dajgui gazar :)",4
Food park shangrila mall,"Although they serve quite tasty lunch menu, service was so slow, made us to wait an hour. Staff was so disrespectful to clients",2
Food park shangrila mall,Uuchlarai tnai kassnder suuj bga ohin yag yuve? Yamar aimar haritsaanii soyolgui buduuleg yum be. Hool idkej orsn bish bur nervtser bgad taarla. Ene huuhnee soliochee zavaarsin,1
Food park shangrila mall,Endii pizza-g udur bolgn ideed ch uidkumaa�. Uneheer setgel gargj udur bolgn shan hool beldj ugdug tanai hamt olond bayrlalaa. Ajliin amjilt husiy?￰ﾟﾖﾒ?￰ﾟﾖﾒ?,5
Food park shangrila mall,14300 iin cheyugbugim chine arai gomdmoor joohon yumaa. 100gr 1 od ch tanai uilchilgeenii chanart chin ihdeh ym bn.,1
Horned Owl Food Symphony,"Goy zuragnuud haraad nzuudiigaa urialaad ochson sanaa zovtol avsan. Tsuuhun hoolnii songolttoi, menu deerh hool, drink uudees talaas ih n garah bolomjgui. Orj suuchaad butsaad garahaas uur songolt bgagui. Decor bolon tavisan zuragnuudad muuhai huurtsan da �",2
Horned Owl Food Symphony,"Saikhan hooltoi uulchulgee sain bsan, taalagdsan taalagdsan?￰ﾟﾑﾏ?￰ﾟﾑﾏ?",5
Horned Owl Food Symphony,"Design, zurgnud zasaliin huwid yrih ymgui goy gazar bsn, uwurmuts dulaahan uur amisgaltai. Hool n dajgui, menun deerh zarim zuil n garah blmjgui gd bdg � Neg ymn muu coffeetoi gazar � Coffee tal dree anhaaraarai, udaan hadgalwal amtgui blcihdog 3 honood uldseniig n hayj bh hregtei.",3
Horned Owl Food Symphony,"Goy orching bvrdvvlsen, vilchilgee saitai goy gazar bnlee Aan bas tsag iin huwaari ni mash ih taalagdsan shvv ajliin amjilt hvsie���",5
Horned Owl Food Symphony,Goe zasalttai goe xuntei goe gazar bn ,5
Horned Owl Food Symphony,mash goy tohijilttoi tuhtai dulaan energytei shan gazar uilchilgee bol Best,5
Horned Owl Food Symphony,mash ih taalagdsan shvv gal togoogoo tohijuulhaar chine ochij goy hool idne <3 :),5
Horned Owl Food Symphony,Mashi ih talagdasan shvv mahan mash goe zolhon tsai irdeg ih talagdasan shvv ta bvhend ajilin amjilt hvsii,5
